etfCode,name,cmp,the20Dma,change20DmaVsCmp,changePercentage,dailyAverageVolumeInLast30Days,dailyAverageVolumeInLast90Days,dailyAverageVolumeInLast365Days,type
NSE:QUAL30IETF,NIFTY 200 Quality 30,20.68,20.842999999999996,-0.007820371347694532,-0.58,146653.81818181818,299904.9152542373,188453.03238866397,Equity
NSE:RELIANCE,Reliance Industries Ltd,1358.0,1385.315,-0.019717537166637267,0.62,19001224.954545453,19690838.423728812,12789154.190283401,Stocks
NSE:SBIN,State Bank of India,949.6,1019.7899999999997,-0.06882789593935978,-0.14,17664526.454545453,17960885.22033898,12105805.825910931,Stocks
NSE:SENSEXIETF,Sensex,863.99,871.6874999999998,-0.008830572883056997,0.53,23632.136363636364,43515.69491525424,21001.914979757086,Equity
NSE:SETFGOLD,SBI-ETF Gold,134.6,130.2155,0.03367110674228502,-0.22,5107051.090909091,8178982.457627119,8034893.072874494,Jewellery
NSE:SHARIABEES,Shariah,468.99,465.3795,0.007758184449465411,0.36,7872.363636363636,9950.396551724138,9892.178861788618,Equity
NSE:SILVERBEES,Nippon India Silver ETF,252.4,242.7735,0.03965218609115073,0.17,34796561.5,53308498.327586204,52763967.3902439,Jewellery
NSE:SILVERIETF,ICICI Prudential Silver ETF,263.9,253.27600000000007,0.04194633522323432,0.38,4839655.681818182,7235044.155172414,9348951.487804879,Jewellery
NSE:SMALLCAP,NIFTY Smallcap 250 Momentum Quality 100,44.77,44.72,0.0011180679785331993,-0.93,2451873.909090909,3194329.7118644067,2158652.931174089,Equity
NSE:TATAGOLD,Tata Mutual Fund Tata Gold Exchange Traded Fund,15.32,14.8135,0.034191784520876345,-0.13,70890490.13636364,93019224.42372881,72021691.91902834,Jewellery
NSE:TCS,Tata Consultancy Services Ltd,2317.9,2369.29,-0.0216900421645303,-0.4,4180235.772727273,4126741.5084745763,3226502.71659919,Stocks
NSE:TNIDETF,NIFTY India Digital,81.34,80.59899999999999,0.00919366245238784,0.01,93978.40909090909,108558.05084745762,77181.37246963562,Equity
NSE:TOP10ADD,NIFTY Top 10 Equal Weight,87.25,87.31,-0.0006872065055549825,0.82,215312.13636363635,1110707.9830508474,497068.971659919,Equity
NSE:VAL30IETF,NIFTY 200 Value 30,15.75,15.805999999999997,-0.003542958370238991,0.51,510681.04545454547,814980.406779661,331835.91093117406,Equity
